Country Name,Country Code,Made or received digital payments in the past year (% age 15+) [g20.t] - 2011 [YR2011],Made or received digital payments in the past year (% age 15+) [g20.t] - 2014 [YR2014],Made or received digital payments in the past year (% age 15+) [g20.t] - 2017 [YR2017],"Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2011 [YR2011]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2014 [YR2014]","Made or received digital payments in the past year, female  (% age 15+) [g20.t.2] - 2017 [YR2017]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2011 [YR2011]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2014 [YR2014]","Made or received digital payments in the past year, male  (% age 15+) [g20.t.1] - 2017 [YR2017]"
Guinea,GIN,..,5.84241724,20.2478714,..,3.208799362,16.54546547,..,8.47091198,23.91448021
Haiti,HTI,..,10.42589664,27.52124977,..,7.84597683,25.36691666,..,13.08649445,29.80771065
Honduras,HND,..,21.85916519,37.2003746,..,18.32350159,31.83146667,..,25.51453018,43.18727112
"Hong Kong SAR, China",HKG,..,80.97933197,84.51143646,..,80.6312561,83.48049164,..,81.39976501,85.77086639
Hungary,HUN,..,63.68206787,71.46030426,..,60.9220314,68.96007538,..,66.84360504,74.34635925
India,IND,..,19.31074524,28.6926384,..,10.96952915,22.44238853,..,27.3293438,34.74580383
Indonesia,IDN,..,22.36196136,34.60826111,..,23.12626648,35.48936081,..,21.57806396,33.6868515
"Iran, Islamic Rep.",IRN,..,75.78234863,89.76847839,..,66.60439301,84.52277374,..,84.77618408,95.23365784
Iraq,IRQ,..,3.825583696,19.05851555,..,1.308825374,15.44796371,..,6.38790226,22.66459846
Ireland,IRL,..,87.36419678,93.53396606,..,85.13957977,93.41519165,..,89.61097717,93.6581955
Israel,ISR,..,83.63114929,90.84851074,..,83.0177536,91.82827759,..,84.27321625,89.83035278
Italy,ITA,..,72.86229706,89.66420746,..,64.20417786,87.35896301,..,82.26668549,92.17201233
Jamaica,JAM,..,45.55268097,..,..,42.58558273,..,..,48.69898987,..
Japan,JPN,..,88.70832825,95.34233856,..,90.65739441,95.78153229,..,86.55284119,94.81652832
Jordan,JOR,..,13.03467464,32.53230286,..,7.510851383,20.24469948,..,18.32273483,43.20161057
Kazakhstan,KAZ,..,40.1671257,53.87411118,..,38.72433472,55.63090515,..,41.80499649,51.88153839
Kenya,KEN,..,69.12162018,78.96279907,..,66.3861618,74.68489838,..,72.22718811,83.74150085
"Korea, Rep.",KOR,..,86.10543823,92.36214447,..,87.10325623,92.25059509,..,85.05712128,92.4744873
Kosovo,XKX,..,28.3850193,38.64515686,..,19.45623398,29.3513031,..,37.43196487,48.28547287
Kuwait,KWT,..,63.76167679,74.82968903,..,55.9765892,67.43624878,..,69.34433746,78.84848022
Kyrgyz Republic,KGZ,..,14.4661684,36.06113052,..,15.10116768,35.03663635,..,13.74473286,37.2166748
Lao PDR,LAO,..,..,13.34751511,..,..,14.72062778,..,..,11.91458797
Latvia,LVA,..,83.92601776,90.92003632,..,82.92082977,92.15099335,..,85.16873169,89.37046814
Lebanon,LBN,..,31.9022541,33.08600998,..,19.84533501,23.95479202,..,45.22390366,42.28852844
Lesotho,LSO,..,..,37.81465912,..,..,40.35131454,..,..,35.09859467
Liberia,LBR,..,..,27.63177681,..,..,21.80322075,..,..,33.76112747
Libya,LBY,..,..,31.8483181,..,..,26.14970207,..,..,36.58021545
Lithuania,LTU,..,65.60041809,77.59806824,..,64.67404938,76.07724762,..,66.72960663,79.41824341
Luxembourg,LUX,..,92.56718445,98.30752563,..,93.33055115,98.17749023,..,91.79096985,98.43508911
"Macedonia, FYR",MKD,..,51.93009949,65.79528809,..,44.23011017,61.29289246,..,59.79486084,70.43605804
Madagascar,MDG,..,5.401105881,15.04440308,..,4.91304493,13.84510803,..,5.929038525,16.38801193
Malawi,MWI,..,11.43525124,27.61244392,..,7.584249973,24.67731094,..,15.53276348,30.82052422
Malaysia,MYS,..,57.83024979,70.41957092,..,52.69160843,64.21659851,..,62.48161697,75.98892975
Mali,MLI,..,15.19713974,30.96650505,..,12.08225918,23.64542198,..,18.41290092,38.54118347
Malta,MLT,..,74.45952606,88.82891083,..,69.66828918,85.77348328,..,79.59811401,91.99848938
Mauritania,MRT,..,17.27606773,15.68984127,..,15.73812103,10.88722134,..,18.89921188,20.51760483
Mauritius,MUS,..,47.53578568,68.5118103,..,36.83330536,60.3057518,..,59.05194855,77.12030792
Mexico,MEX,..,29.42064095,31.74050713,..,27.25709724,28.15190506,..,31.73196411,35.84356689
Moldova,MDA,..,14.85094261,40.37734604,..,15.54956627,40.33282471,..,14.07420063,40.42646408
Mongolia,MNG,..,62.79143524,85.26951599,..,64.44929504,87.47790527,..,60.96641922,82.86497498
Montenegro,MNE,..,39.95371628,59.79499817,..,37.05583954,58.44752884,..,43.07916641,61.20309067
Morocco,MAR,..,..,16.71487617,..,..,8.31656456,..,..,25.8134613
Mozambique,MOZ,..,..,34.10688782,..,..,26.85301971,..,..,41.855793
Myanmar,MMR,..,3.91173625,7.708312511,..,3.777231932,7.436227798,..,4.056944847,8.016952515
Namibia,NAM,..,43.92372131,71.41944885,..,39.09746933,70.64181519,..,49.26815796,72.31365967
Nepal,NPL,..,9.424330711,16.30665588,..,7.063063145,13.13717937,..,12.14728832,20.15447998
Netherlands,NLD,..,97.84885406,97.65791321,..,97.50032043,97.3789978,..,98.21022797,97.94230652
New Zealand,NZL,..,97.61474609,97.32144928,..,98.4706192,98.51673126,..,96.65628052,95.96250916
Nicaragua,NIC,..,13.39254093,24.57213593,..,9.899682045,18.27638245,..,17.06850624,31.37685394
Niger,NER,..,5.399074078,13.02756405,..,3.100452662,8.158736229,..,7.656681538,17.69165611
Nigeria,NGA,..,36.93539047,29.66042519,..,26.42896843,20.82455635,..,46.93856049,38.03296661
Norway,NOR,..,98.36910248,99.08998871,..,97.37825775,100,..,99.3595047,98.18845367
Oman,OMN,..,..,..,..,..,..,..,..,..
Pakistan,PAK,..,7.755295277,17.69078064,..,2.492017269,5.337681293,..,12.85392475,29.21812439
Panama,PAN,..,30.97579575,35.02983856,..,27.2815876,30.03201485,..,34.6965332,40.28010178
Paraguay,PRY,..,..,44.59149933,..,..,42.50785828,..,..,46.65920639
Peru,PER,..,22.03673553,33.89665604,..,17.02075768,26.28576088,..,27.21156693,41.69562149
Philippines,PHL,..,19.50834084,25.08940697,..,22.66324425,26.69646072,..,16.19992256,23.43699265
Poland,POL,..,62.50384521,81.87987518,..,57.90329742,82.24785614,..,67.5672226,81.47319031
Portugal,PRT,..,72.89463043,86.30918884,..,69.50243378,84.26509857,..,76.74337769,88.5521698
